C,C#,D,D#,E,F,F#,G,G#,A,A#,B,Acorde
-30.696177,-67.112065,-52.121170,-62.380656,-35.201107,-61.136266,-59.173510,-44.422082,-57.206766,-55.009455,-61.226467,-55.043503,0.000000
-30.877068,-66.252371,-52.538226,-65.672273,-33.966888,-64.607028,-63.100334,-44.566237,-52.404317,-61.461708,-63.216414,-49.122132,0.000000
-32.811967,-66.687344,-48.015820,-61.324878,-33.007405,-59.873888,-58.070598,-43.965720,-60.551104,-59.940773,-57.961078,-52.522518,0.000000
-30.192668,-66.944194,-50.852035,-65.383233,-34.308253,-63.821991,-61.640005,-44.261616,-61.336485,-56.115490,-63.112493,-57.887556,0.000000
-29.626774,-63.274550,-51.730738,-62.850443,-32.276510,-59.809439,-59.557186,-43.267825,-60.126503,-53.642756,-61.461631,-53.292672,0.000000
-30.837911,-64.842267,-53.371580,-68.643596,-33.299561,-60.481474,-60.534812,-44.708152,-58.307734,-57.900162,-62.628172,-51.250906,0.000000
-29.982702,-64.369080,-53.358881,-67.028096,-33.179336,-57.631139,-60.041913,-46.111993,-59.300069,-54.909963,-64.194533,-55.738207,0.000000
-30.049799,-66.696523,-50.295099,-61.147448,-32.327196,-60.531007,-60.996696,-44.963793,-57.434948,-49.947965,-58.978731,-54.060891,0.000000
-30.209140,-64.625540,-51.090689,-62.205844,-31.667886,-55.252136,-59.707491,-44.905445,-56.152115,-55.963543,-60.627102,-51.569767,0.000000
-33.686795,-70.966752,-49.384562,-62.434415,-36.327052,-58.287057,-60.239810,-44.015495,-55.687686,-51.753125,-60.249399,-53.994199,0.000000
-31.844036,-64.761034,-48.546077,-61.319902,-37.478708,-61.646023,-66.541967,-43.163151,-55.295470,-54.032132,-61.403020,-54.432302,0.000000
-46.347464,-81.055862,-61.669139,-74.755095,-42.769353,-70.062021,-61.776830,-57.036961,-64.318728,-68.165638,-70.655190,-58.896538,0.000000
-34.553759,-70.098690,-56.554144,-67.347749,-35.107174,-62.818669,-59.453841,-46.789563,-58.143346,-59.312856,-64.080636,-57.250435,0.000000
-38.478104,-75.828081,-59.766104,-71.618269,-38.425016,-63.813225,-61.038455,-48.505090,-62.478647,-63.077618,-62.614782,-55.159422,0.000000
-50.170472,-79.344759,-57.230842,-65.693146,-39.721525,-70.083534,-66.316366,-49.455914,-72.290727,-70.536189,-71.723493,-60.152335,0.000000
-34.426437,-71.049451,-58.179807,-66.775830,-34.263538,-63.662268,-61.219774,-45.033007,-63.434359,-58.907425,-67.656186,-55.088574,0.000000
-37.788700,-74.214910,-60.296253,-69.723161,-40.653033,-70.907842,-65.435787,-50.807244,-68.502247,-70.834965,-73.967489,-60.267714,0.000000
-40.274098,-74.903434,-61.700979,-71.010630,-40.808226,-70.784927,-66.372890,-50.810112,-69.726193,-65.981685,-73.131952,-62.158824,0.000000
-35.644715,-68.067274,-53.480544,-64.299854,-35.248889,-64.432885,-61.902028,-44.423931,-66.102075,-66.164896,-66.262376,-55.901812,0.000000
-37.560936,-72.591127,-59.092758,-72.382327,-39.818257,-69.719763,-63.777309,-49.946431,-65.463594,-62.418771,-69.940764,-60.345025,0.000000
-33.698790,-70.159396,-55.104019,-64.973337,-34.006717,-63.173995,-61.916325,-43.566469,-65.418621,-60.085751,-63.300972,-47.393099,0.000000
-36.724265,-70.214669,-54.297012,-68.964574,-33.635539,-61.730230,-58.263158,-43.845877,-58.449500,-54.558247,-63.575579,-53.023547,0.000000
-49.235415,-72.761755,-55.294602,-63.683643,-33.894403,-62.746884,-55.754027,-43.909409,-64.839993,-58.901576,-65.244458,-49.817477,0.000000
